file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/position-swap/mutant0/mutant0-static/5.grift,#(struct:srcloc 5.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 5.grift 3 0 60 1727))
/exp/blackscholes/position-swap/mutant0/mutant0-static/6.grift,#(struct:srcloc 6.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 6.grift 3 0 60 1727))
/exp/blackscholes/position-swap/mutant0/mutant0-static/7.grift,#(struct:srcloc 7.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 7.grift 3 0 60 1725))
/exp/blackscholes/position-swap/mutant0/mutant0-static/8.grift,#(struct:srcloc 8.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 8.grift 3 0 60 1725))
/exp/blackscholes/position-swap/mutant0/mutant0-static/9.grift,#(struct:srcloc 9.grift 4 8 131 179),grift-impl,1, (#(struct:srcloc 9.grift 3 0 60 1724))
/exp/blackscholes/position-swap/mutant58/mutant58-dynamic.grift,#(struct:srcloc mutant58-dynamic.grift 196 7 5418 178),grift-impl,1, (#(struct:srcloc mutant58-dynamic.grift 193 0 5377 2722))
/exp/blackscholes/position-swap/mutant58/mutant58-static/0.grift,#(struct:srcloc 0.grift 109 8 4773 206),grift-impl,1, (#(struct:srcloc 0.grift 108 0 4736 2344))
/exp/blackscholes/position-swap/mutant58/mutant58-static/1.grift,#(struct:srcloc 1.grift 109 8 4764 206),grift-impl,1, (#(struct:srcloc 1.grift 108 0 4727 2323))
/exp/blackscholes/position-swap/mutant58/mutant58-static/2.grift,#(struct:srcloc 2.grift 109 8 4752 200),grift-impl,1, (#(struct:srcloc 2.grift 108 0 4715 2311))
/exp/blackscholes/position-swap/mutant58/mutant58-static/3.grift,#(struct:srcloc 3.grift 109 8 4750 200),grift-impl,1, (#(struct:srcloc 3.grift 108 0 4713 2299))
/exp/blackscholes/position-swap/mutant58/mutant58-static/4.grift,#(struct:srcloc 4.grift 109 8 4750 149),grift-impl,1, (#(struct:srcloc 4.grift 108 0 4713 2251))
/exp/blackscholes/position-swap/mutant58/mutant58-static/5.grift,#(struct:srcloc 5.grift 109 8 4729 149),grift-impl,1, (#(struct:srcloc 5.grift 108 0 4692 2247))
/exp/blackscholes/position-swap/mutant58/mutant58-static/6.grift,#(struct:srcloc 6.grift 109 8 4680 149),grift-impl,1, (#(struct:srcloc 6.grift 108 0 4643 2197))
/exp/blackscholes/position-swap/mutant58/mutant58-static/7.grift,#(struct:srcloc 7.grift 109 8 4673 149),grift-impl,1, (#(struct:srcloc 7.grift 108 0 4636 2132))
/exp/blackscholes/position-swap/mutant58/mutant58-static/8.grift,#(struct:srcloc 8.grift 109 8 4655 149),grift-impl,1, (#(struct:srcloc 8.grift 108 0 4617 2126))
/exp/blackscholes/position-swap/mutant58/mutant58-static/9.grift,#(struct:srcloc 9.grift 109 8 4637 149),grift-impl,1, (#(struct:srcloc 9.grift 108 0 4599 2124))
